

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 5; fitness: -0.08775527898210633; player life: 68.2000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -1.527755278982105; player life: 53.80000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.373319789577012; player life: 0; enemy life: 100; time: 586

RUN: run status: enemy: 5; fitness: -6.354370040797351; player life: 0; enemy life: 100; time: 575

RUN: run status: enemy: 5; fitness: -0.9877552789821031; player life: 59.20000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -2.9677552789821084; player life: 39.40000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.612244721017868; player life: 95.20000000000005; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.8885724595653635; player life: 0; enemy life: 100; time: 981

RUN: run status: enemy: 5; fitness: -2.4877552789821076; player life: 44.200000000000294; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.494215939871771; player life: 0; enemy life: 90.0; time: 669

RUN: run status: enemy: 5; fitness: 0.15224472101789122; player life: 70.60000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 47.65436363917141; player life: 0; enemy life: 40.0; time: 570

RUN: run status: enemy: 5; fitness: -6.756932389247553; player life: 0; enemy life: 100; time: 860

RUN: run status: enemy: 5; fitness: -0.20775527898210555; player life: 67.00000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.838792678304923; player life: 0; enemy life: 90.0; time: 474

RUN: run status: enemy: 5; fitness: 8.012244721017897; player life: 59.20000000000033; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 15.572244721017892; player life: 44.800000000000296; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: -2.847755278982108; player life: 40.600000000000286; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 11.38661578162044; player life: 0; enemy life: 80.0; time: 745

RUN: run status: enemy: 5; fitness: -2.2477552789821065; player life: 46.6000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -5.986452005284438; player life: 0; enemy life: 100; time: 398

RUN: run status: enemy: 5; fitness: -0.867755278982103; player life: 60.40000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 85.72413272989427; player life: 19.000000000000234; enemy life: 0; time: 481

RUN: run status: enemy: 5; fitness: 2.562248350263599; player life: 0; enemy life: 90.0; time: 625

RUN: run status: enemy: 5; fitness: 1.2922447210178802; player life: 82.00000000000017; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -3.9877552789821107; player life: 29.20000000000026; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.827629234502852; player life: 0; enemy life: 100; time: 923

RUN: run status: enemy: 5; fitness: -0.3877552789821035; player life: 65.20000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 88.98206684551657; player life: 48.400000000000304; enemy life: 0; time: 350

RUN: run status: enemy: 5; fitness: -0.5677552789821023; player life: 63.40000000000034; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -4.227755278982111; player life: 26.800000000000253; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 7.892244721017896; player life: 58.00000000000033; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 93.02168263345199; player life: 83.20000000000016; enemy life: 0; time: 200

RUN: run status: enemy: 5; fitness: 3.5722447210178867; player life: 14.800000000000228; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: -0.8077552789821034; player life: 61.000000000000334; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 56.906430229954864; player life: 0; enemy life: 30.0; time: 443

RUN: run status: enemy: 5; fitness: -6.2324480165505225; player life: 0; enemy life: 100; time: 509

RUN: run status: enemy: 5; fitness: -6.113682179832232; player life: 0; enemy life: 100; time: 452

RUN: run status: enemy: 5; fitness: -1.7677552789821052; player life: 51.40000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 21.392244721017885; player life: 13.00000000000023; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: 1.1122447210178823; player life: 80.20000000000019; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 51.69224472101789; player life: 46.0000000000003; enemy life: 40.0; time: 1000

RUN: run status: enemy: 5; fitness: -4.287755278982111; player life: 26.20000000000025; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 87.62835578817425; player life: 35.20000000000027; enemy life: 0; time: 362

RUN: run status: enemy: 5; fitness: 39.93224472101789; player life: 18.400000000000233; enemy life: 50.0; time: 1000

RUN: run status: enemy: 5; fitness: 11.959745288722587; player life: 0; enemy life: 80.0; time: 420

RUN: run status: enemy: 5; fitness: 88.68322890233345; player life: 43.00000000000029; enemy life: 0; time: 275

RUN: run status: enemy: 5; fitness: 90.11982739098298; player life: 58.00000000000033; enemy life: 0; time: 293

RUN: run status: enemy: 5; fitness: 35.8522447210179; player life: 67.6000000000003; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.327755278982114; player life: 5.800000000000233; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -3.8677552789821106; player life: 30.40000000000026; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 88.5214067855038; player life: 45.4000000000003; enemy life: 0; time: 411

RUN: run status: enemy: 5; fitness: -6.516193076042964; player life: 0; enemy life: 100; time: 676

RUN: run status: enemy: 5; fitness: -6.327936783729195; player life: 0; enemy life: 100; time: 560

RUN: run status: enemy: 5; fitness: -6.1675164908883415; player life: 0; enemy life: 100; time: 477

RUN: run status: enemy: 5; fitness: -6.3473892096560105; player life: 0; enemy life: 100; time: 571

RUN: run status: enemy: 5; fitness: 93.03853908213777; player life: 85.60000000000014; enemy life: 0; time: 250

RUN: run status: enemy: 5; fitness: -5.247755278982114; player life: 16.60000000000023; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -1.1677552789821037; player life: 57.400000000000325; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -2.9677552789821084; player life: 39.40000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -4.107755278982111; player life: 28.000000000000256; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 87.7892033559595; player life: 37.00000000000028; enemy life: 0; time: 369

RUN: run status: enemy: 5; fitness: 47.98384284030165; player life: 0; enemy life: 40.0; time: 410

RUN: run status: enemy: 5; fitness: -6.840546529288687; player life: 0; enemy life: 100; time: 935

RUN: run status: enemy: 5; fitness: -6.464588303689961; player life: 0; enemy life: 100; time: 642

RUN: run status: enemy: 5; fitness: 1.4722447210178782; player life: 83.80000000000015; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.336825731146441; player life: 0; enemy life: 100; time: 565

RUN: run status: enemy: 5; fitness: 1.8922447210178746; player life: 88.00000000000011; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.7833938989151354; player life: 0; enemy life: 90.0; time: 501

RUN: run status: enemy: 5; fitness: 2.5448014366598777; player life: 0; enemy life: 90.0; time: 636

RUN: run status: enemy: 5; fitness: -1.7677552789821052; player life: 51.40000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -2.727755278982108; player life: 41.80000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.838792678304923; player life: 0; enemy life: 90.0; time: 474

RUN: run status: enemy: 5; fitness: -6.396929655216146; player life: 0; enemy life: 100; time: 600

RUN: run status: enemy: 5; fitness: 34.9522447210179; player life: 58.60000000000033; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: 89.05968822339261; player life: 47.8000000000003; enemy life: 0; time: 305

RUN: run status: enemy: 5; fitness: -1.9477552789821058; player life: 49.60000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -2.307755278982107; player life: 46.0000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 30.194865031083513; player life: 0; enemy life: 60.0; time: 332

RUN: run status: enemy: 5; fitness: 39.08920335595947; player life: 0; enemy life: 50.0; time: 369

RUN: run status: enemy: 5; fitness: -6.142037405587356; player life: 0; enemy life: 100; time: 465

RUN: run status: enemy: 5; fitness: 20.012244721017872; player life: 89.2000000000001; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: 89.40147857583419; player life: 56.800000000000324; enemy life: 0; time: 533

RUN: run status: enemy: 5; fitness: 56.50776016497953; player life: 0; enemy life: 30.0; time: 660

RUN: run status: enemy: 5; fitness: 90.3852886203982; player life: 59.80000000000033; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 90.69853908213778; player life: 62.20000000000034; enemy life: 0; time: 250

RUN: run status: enemy: 5; fitness: -0.14775527898210594; player life: 67.6000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.147755278982114; player life: 7.600000000000232; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.156978985585555; player life: 0; enemy life: 100; time: 472

RUN: run status: enemy: 5; fitness: -0.7477552789821029; player life: 61.600000000000335; enemy life: 100; time: 1000

